question,user,answer,contexts,expect_refusal,refused,judge_ok,latency_ms,degraded,tokens
新员工入职配发什么电脑？,it001,"

新员工入职由 IT 部统一配发笔记本电脑一台，显示器一台 [1]。","it_设备管理制度
## 设备领用
1. 新员工入职由 IT 部统一配发笔记本电脑一台，显示器一台。
2. 领用设备需在资产系统登记，签字确认。
---
it_设备管理制度
## 网络使用
办公网络分为办公网与访客网，访客网密码每月更换一次。
---
it_设备管理制度
# IT 设备管理制度
---
admin_会议室预定
## 预定方式
通过 OA 系统「会议室」模块预定，先到先得。可预定时段为工作日 8:30-20:00。
---
probe_1787721977
## 报修热线
设备报修请拨打内部热线 1787721977，4 小时内响应。
---
probe_1787722309
## 报修热线
设备报修请拨打内部热线 1787722309，4 小时内响应。",False,False,True,7463,False,313
办公设备坏了怎么报修？,it001,"

办公设备坏了可通过以下两种方式报修：  
1. 提交 IT 工单，IT 部门将在 4 小时内响应 [1]；  
2. 拨打内部热线报修，具体号码包括 1787721977、1787722470、1787722309、1787722098、1787716045，均为 4 小时内响应 [2][3][4][5][6]。  

（注：多个热线号码可能对应不同部门或区域，请根据实际情况选择。）","it_设备管理制度
## 设备维修
1. 设备故障请提交 IT 工单，响应时限为 4 小时。
2. 人为损坏需照价赔偿。
---
probe_1787721977
## 报修热线
设备报修请拨打内部热线 1787721977，4 小时内响应。
---
probe_1787722470
## 报修热线
设备报修请拨打内部热线 1787722470，4 小时内响应。
---
probe_1787722309
## 报修热线
设备报修请拨打内部热线 1787722309，4 小时内响应。
---
probe_1787722098
## 报修热线
设备报修请拨打内部热线 1787722098，4 小时内响应。
---
probe_1787716045
## 报修热线
设备报修请拨打内部热线 1787716045，4 小时内响应。",False,False,True,11063,False,406
密码多久需要更换一次？有什么复杂度要求？,it001,"

访客网密码每月更换一次 [1]，但知识库中未提及密码复杂度的具体要求。","it_设备管理制度
## 网络使用
办公网络分为办公网与访客网，访客网密码每月更换一次。
---
admin_会议室预定
## 使用规范
1. 预定后 15 分钟未使用的，系统自动释放该时段。
2. 会议结束须清理白板、带走物品，视频会议设备使用后关机。
3. 取消会议请提前在系统释放，累计 3 次预定未用将被限制预定一周。
---
probe_1787722470
## 报修热线
设备报修请拨打内部热线 1787722470，4 小时内响应。
---
probe_1787722309
## 报修热线
设备报修请拨打内部热线 1787722309，4 小时内响应。
---
it_设备管理制度
## 设备维修
1. 设备故障请提交 IT 工单，响应时限为 4 小时。
2. 人为损坏需照价赔偿。
---
admin_会议室预定
## 对外接待
接待外部访客优先使用泰山厅，需提前半天向行政部报备来访人数与公司信息，由行政准备门禁临时卡。",False,False,True,8481,False,359
VPN 账号有效期多长？,it001,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。",,False,True,True,4294,False,133
数据库备份多久做一次？保留多久？,admin,"

根据知识库中的信息：  
1. **备份频率**：建议根据业务需求和数据重要性确定，通常为每日或每周进行一次备份 [1]。  
2. **保留周期**：保留时间应至少为业务需求和数据恢复要求的两倍，但具体数值未明确说明 [1]。  
3. **关键数据**：若涉及关键数据，可能需要更频繁的备份和更长的保留时间 [2]。  

注：知识片段中未提及具体天数或比例数值，实际操作中需结合业务场景评估 [1][2]。",,False,False,True,9515,False,222
公司几点上班？弹性工时怎么申请？,hr001,"

公司标准工作时间为 9:00-18:00 [1]，研发岗位可申请弹性工时（10:00-19:00）[1]。关于弹性工时申请的具体流程，知识库中未提及详细操作步骤。建议咨询人力资源部门获取完整申请指引。","hr_考勤与休假制度
## 工作时间
标准工作时间为 9:00-18:00，午休 1 小时（12:00-13:00）。研发岗可申请弹性工时（10:00-19:00）。
---
admin_会议室预定
## 预定方式
通过 OA 系统「会议室」模块预定，先到先得。可预定时段为工作日 8:30-20:00。
---
hr_考勤与休假制度
## 打卡规则
1. 每日上下班各打卡一次，使用企业微信定位打卡或办公区闸机。
2. 每月允许 2 次 10 分钟内的弹性迟到，不扣款。
3. 超过 30 分钟未打卡且无请假记录的，按半天事假计。
---
hr_考勤制度
## 工作时间
标准工作时间为 9:00-18:00，午休 1 小时。
---
hr_考勤与休假制度
# 员工考勤制度
---
hr_考勤制度
# 员工考勤制度",False,False,True,6471,False,359
迟到会扣钱吗？,it001,"

根据公司规定，迟到会扣钱。具体标准如下：  
- 迟到超过15分钟扣款50元 [1]；  
- 迟到超过30分钟扣款100元 [2]；  
- 迟到超过1小时扣款200元 [3]。  

不同时间段对应的扣款金额不同，且多次迟到可能影响绩效考核 [2]。",,False,False,True,8575,False,178
加班有餐费补贴吗？调休怎么算？,it001,"

知识库中暂未找到与该问题相关的资料，建议补充相关文档或换个问法。","admin_差旅政策
## 补贴
出差期间餐补 100 元/天（当天往返减半）；连续出差超过 10 天的，每两周可返程休整一次（交通费另报）。
---
admin_差旅政策
# 员工差旅政策
---
admin_差旅政策
## 住宿标准
| 城市 | 普通员工 | 经理 | 总监及以上 |
|------|---------|------|-----------|
| 一线城市（北上广深） | 600 元/晚 | 800 元/晚 | 1200 元/晚 |
| 省会城市 | 450 元/晚 | 600 元/晚 | 900 元/晚 |
| 其他城市 | 350 元/晚 | 500 元/晚 | 700 元/晚 |
---
admin_会议室预定
## 预定方式
通过 OA 系统「会议室」模块预定，先到先得。可预定时段为工作日 8:30-20:00。
---
probe_1787716045
# 探针制度1787716045
---
it_设备管理制度
## 设备维修
1. 设备故障请提交 IT 工单，响应时限为 4 小时。
2. 人为损坏需照价赔偿。",False,True,True,6234,False,385
年假有多少天？可以攒着明年用吗？,hr001,"

根据《hr_考勤与休假制度》年假规定，员工年假天数按司龄计算：入职满1年5天，满3年8天，满5年12天，满10年15天 [1]。年假当年有效，但可结转至次年3月31日，即最多可累积使用至次年第一季度末 [1]。","hr_考勤与休假制度
## 年假
员工年假按司龄计算：入职满 1 年 5 天，满 3 年 8 天，满 5 年 12 天，满 10 年 15 天。年假当年有效，最多可结转至次年 3 月 31 日。
---
hr_考勤制度
## 请假流程
请假需提前一天在 OA 系统提交，3 天以上需部门总监审批。
---
hr_考勤与休假制度
## 请假流程
1. 请假需提前 1 个工作日在 OA 系统提交申请。
2. 1 天以内部门经理审批；1-3 天部门总监审批；3 天以上总经理审批。
3. 病假（3 天以上）需提供二级以上医院证明。
---
hr_考勤与休假制度
## 打卡规则
1. 每日上下班各打卡一次，使用企业微信定位打卡或办公区闸机。
2. 每月允许 2 次 10 分钟内的弹性迟到，不扣款。
3. 超过 30 分钟未打卡且无请假记录的，按半天事假计。
---
admin_差旅政策
# 员工差旅政策
---
admin_差旅政策
## 补贴
出差期间餐补 100 元/天（当天往返减半）；连续出差超过 10 天的，每两周可返程休整一次（交通费另报）。",False,False,True,7235,False,420
外部培训费能报销吗？比例多少？,hr001,"

根据知识库信息，外部培训费用可以报销。具体比例如下：  
- 认证考试费按100%报销（通过后）；  
- 培训课程费按70%报销 [1]。  

注：单人年度报销总额不超过5000元，超出部分需总经理特批。","hr_培训与报销
## 外部培训报销
1. 与岗位相关的外部技术大会、认证考试，可申请公司报销。
2. 报销比例：认证考试费 100% 报销（通过后）；培训课程费 70% 报销。
3. 单人年度培训报销总额上限 5000 元，超过部分需总经理特批。
---
hr_培训与报销
## 服务期约定
单次公司出资超过 10000 元的培训，员工须签订服务期协议（12 个月），服务期内离职按未履行月份比例退还培训费用。
---
hr_培训与报销
# 培训与培训报销管理制度
---
hr_培训与报销
## 讲师激励
内部授课讲师每次可获得 500 元课酬（时长≥1 小时），课件纳入公司知识库归档。
---
admin_差旅政策
## 补贴
出差期间餐补 100 元/天（当天往返减半）；连续出差超过 10 天的，每两周可返程休整一次（交通费另报）。
---
admin_差旅政策
## 预定与报销
1. 统一通过商旅平台（携程商旅）预定，企业月结，个人无需垫付机票高铁费用。
2. 超标入住的，超出部分个人自付。
3. 市内交通实报实销（打车需注明起止地点），每日封顶 100 元。",False,False,True,6018,False,426
