question,answer,contexts,expect_unauthorized,refused,judge_ok,latency_ms,degraded,tokens
新员工如何领用电脑？,"

新员工入职时，IT部门会统一配发笔记本电脑和显示器 [1]。领用设备时需在资产系统进行登记，并签字确认以完成领用手续 [1]。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,6066,False,232
办公设备坏了怎么报修？,"

办公设备故障报修需提交 IT 工单，IT 部门将在 4 小时内响应处理 [1]。若设备损坏系人为因素造成，需按照制度规定进行照价赔偿 [1]。制度未明确说明工单提交的具体渠道（如线上系统或联系 IT 部门），建议补充此信息以完善操作流程。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,8350,False,259
公司工作时间是怎么规定的？,"

公司标准工作时间为 9:00-18:00，午休 1 小时 [1]。","hr_考勤制度

---
hr_考勤制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_薪酬保密制度

---
it_设备管理制度
",False,False,True,5068,False,225
迟到会怎么处理？,"

根据《hr_考勤制度》中的规定：  
1. 每月允许 2 次 10 分钟内的弹性迟到；  
2. 超过 30 分钟按半天事假计 [1]。  

若需进一步了解事假的具体处理流程，可参考请假相关制度 [2]。","hr_考勤制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
it_设备管理制度

---
fin_费用报销制度

---
fin_费用报销制度
",False,False,True,6411,False,307
薪酬可以互相打听吗？,"

根据《hr_薪酬保密制度》规定，员工薪酬信息属于公司机密，禁止互相打探、透露 [1]。因此，薪酬信息不可互相打听。","hr_薪酬保密制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
it_设备管理制度

---
fin_费用报销制度
",False,False,True,4073,False,267
费用报销有没有时间限制？,"

根据《fin_费用报销制度》的规定，费用发生后应在 **5 个工作日内** 提交报销单，这表明存在明确的时间限制 [1]。若未在规定期限内提交，可能会影响报销流程的正常进行。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度
",False,False,True,4977,False,261
餐费报销需要注意什么？,"

根据知识片段，餐费报销需注意以下事项：  
1. **发票要求**：必须提供增值税发票原件，且发票抬头与税号需正确；餐费报销还需注明事由与参与人员名单 [1]。  
2. **报销时限**：费用发生后应在 5 个工作日内提交报销单 [2]。  

以上为明确要求，其他未提及的细节（如审批层级）未在片段中提供 [6]。","fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,10319,False,318
5000 元以上的费用由谁审批？,"

根据《fin_费用报销制度》中的审批层级规定，5000元以上的费用需由总经理审批 [1]。","fin_费用报销制度

---
hr_考勤制度

---
fin_费用报销制度

---
fin_费用报销制度

---
fin_费用报销制度

---
hr_薪酬保密制度
",False,False,True,5769,False,263
访客网络密码是多少？,"

知识片段中未提及访客网络密码的具体内容，仅说明访客网密码每月更换一次 [1]。由于缺乏具体密码信息，无法直接回答密码是什么。建议联系企业IT部门获取最新密码或相关指引。","it_设备管理制度

---
it_设备管理制度

---
it_设备管理制度

---
fin_费用报销制度

---
it_设备管理制度

---
hr_考勤制度
",False,False,True,5078,False,243
请假三天需要谁批准？,"

根据《hr_考勤制度》中的请假流程规定，请假3天以上需部门总监审批 [1]。","hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
fin_费用报销制度
",False,False,True,3988,False,254
年假有几天？,"

知识片段中未提及年假的具体天数信息 [1][2][3][4][5][6]。建议查阅公司员工手册或咨询人力资源部门获取年假政策详情。","hr_考勤制度

---
hr_考勤制度

---
fin_费用报销制度

---
hr_考勤制度

---
hr_考勤制度

---
hr_薪酬保密制度
",False,False,False,5549,False,255
股票代码是什么？,"

根据提供的知识片段，未包含任何关于股票代码的信息。现有资料仅涉及费用报销、薪酬保密、考勤制度及IT设备管理等内容，无法回答股票代码相关问题。","fin_费用报销制度

---
hr_薪酬保密制度

---
hr_考勤制度

---
it_设备管理制度

---
hr_考勤制度

---
it_设备管理制度
",False,False,False,5361,False,258
